xcord	bench	data	energy_saver	managed	low_percent_saved	mid_percent_saved
0.0	sunflow	large	0.34756655338359577	0	65.24	""
0.2	sunflow	large	0	0.6164161367509452	""	38.36
1.0	jspider	large	0.28390890018691317	0	71.61	""
1.2	jspider	large	0	0.7373213244786617	""	26.27
2.0	crypto	large	0.2949299305602522	0	70.51	""
2.2	crypto	large	0	0.5771547951865308	""	42.28
3.0	findbugs	large	0.7527337025206423	0	24.73	""
3.2	findbugs	large	0	1.0019508522919196	""	-0.2
4.0	pagerank	large	0.69529884917566	0	30.47	""
4.2	pagerank	large	0	0.843723800083593	""	15.63
5.0	batik	large	0.7950582704398106	0	20.49	""
5.2	batik	large	0	0.8217193150006485	""	17.83
