xcord	bench	data	ent_managed	java_managed	ent_full	java_full	percent_saved
0.0	sunflow	managed	0.49593741702321953	0.8086981974110198			38.67%
0.2	sunflow	full_throttle	0.555546715242556	1.0			44.45%
0.4	sunflow	full_throttle			0.5518936211184695	0.9740573379886599	43.34%
1.0	jspider	managed	0.8891398433175434	0.9499252978467905			6.4%
1.2	jspider	full_throttle	0.3907829813823212	0.9881906685433114			60.45%
1.4	jspider	full_throttle			0.41954870119283094	1.0	58.05%
2.0	crypto	managed	0.2589300175472676	0.4960344083838402			47.8%
2.2	crypto	full_throttle	0.4899301975675403	1.0			51.01%
2.4	crypto	full_throttle			0.5019350820924073	0.9885010887148652	49.22%
3.0	findbugs	managed	0.2079119078033153	0.2753921987433459			24.5%
3.2	findbugs	full_throttle	0.7365265237469079	0.991215710819151			25.69%
3.4	findbugs	full_throttle			0.7464415241769242	0.9945541088968757	24.95%
4.0	pagerank	managed	0.49201264383166526	0.6004471656024374			18.06%
4.2	pagerank	full_throttle	0.8153646573088278	0.9930319225039782			17.89%
4.4	pagerank	full_throttle			0.8304235077763875	0.997464446148876	16.75%
5.0	batik	managed	0.5051617013612383	0.6927419186249999			27.08%
5.2	batik	full_throttle	0.7187605797391309	0.9821661802252492			26.82%
5.4	batik	full_throttle			0.73591492047721	0.9822769504198647	25.08%
