xcord	bench	data	ent_managed	java_managed	ent_full	java_full	percent_saved
0.0	NewPipe	managed	0.3822594001023227	0.4423704766375307			13.59
0.2	NewPipe	full_throttle	0.8483852762936388	1.0131804492639818			16.27
0.4	NewPipe	full_throttle			0.8564021962141	1.0	14.36
1.0	duckduckgo	managed	0.6254136569049571	0.6690673593566522			6.52
1.2	duckduckgo	full_throttle	0.9667366473330247	0.9938583069423186			2.73
1.4	duckduckgo	full_throttle			0.9066647688858834	1.0	9.33
2.0	SoundRecorder	managed	0.7812348387368938	0.799670934672094			2.31
2.2	SoundRecorder	full_throttle	0.9343556858691702	0.9991773366802369			6.49
2.4	SoundRecorder	full_throttle			0.9668403400341689	1.0	3.32
3.0	MaterialLife	managed	0.9003330678444696	0.9214032293099672			2.29
3.2	MaterialLife	full_throttle	0.8426254434870746	0.9982984577510681			15.59
3.4	MaterialLife	full_throttle			0.8410687133444348	1.0	15.89
