xcord	bench	data	energy_saver	managed	low_percent_saved	mid_percent_saved
0.0	sunflow	large	0.30511993140329713	0	69.49	""
0.2	sunflow	large	0	0.5776225827560498	""	42.24
1.0	crypto	large	0.2559094029067219	0	74.41	""
1.2	crypto	large	0	0.5503324011705496	""	44.97
2.0	camera	large	0.9361467143313866	0	6.39	""
2.2	camera	large	0	0.9697445287296206	""	3.03
3.0	video	large	0.8036967045483963	0	19.63	""
3.2	video	large	0	0.9059773745113776	""	9.4
4.0	javaboy	large	0.9865792662089541	0	1.34	""
4.2	javaboy	large	0	0.9938488303457702	""	0.62
