xcord	bench	data	ent_managed	java_managed	ent_full	java_full	percent_saved
0.0	sunflow	managed	0.4665973786015361	0.8306676674942748			43.83%
0.2	sunflow	full_throttle	0.530380891891372	0.9887599361010072			46.36%
0.4	sunflow	full_throttle			0.5287641703716537	0.9996150663048293	47.1%
1.0	crypto	managed	0.3145848535803713	0.6658047526888422			52.75%
1.2	crypto	full_throttle	0.46551603794535423	0.9968146197531644			53.3%
1.4	crypto	full_throttle			0.46892033376692394	1.0	53.11%
2.0	video	managed	0.8521170543466615	0.8880051452460073			4.04%
2.2	video	full_throttle	0.9172044163361567	0.9977489548719046			8.07%
2.4	video	full_throttle			0.9215778754421701	0.996183942544753	7.49%
3.0	camera	managed	0.9372974681876862	0.9926495771530942			5.58%
3.2	camera	full_throttle	0.9812155860579077	0.9774481650288488			-0.39%
3.4	camera	full_throttle			1.0	0.975603972916722	-2.5%
4.0	javaboy	managed	0.9844291197303964	0.9949449246419321			1.06%
4.2	javaboy	full_throttle	0.9930102661715607	0.999063874933691			0.61%
4.4	javaboy	full_throttle			0.9924485911317753	0.9989702624270603	0.65%
